customer_id,article_id,final_score,similarity_score,popularity_score
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,539723005,690.3,24,2245
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,399223001,575.4,27,1855
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,692454002,524.0,26,1686
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,573716012,481.0,31,1531
0000423b00ade91418cceaf3b26c6af3dd342b51fd051eec9c12fb36984420fa,685687004,450.2999999999999,51,1382
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,539723005,674.2,1,2245
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,399223001,557.9,2,1855
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,692454002,509.99999999999994,6,1686
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,573716012,460.0,1,1531
000058a12d5b43e67d225668fa1f8d618c13dc232df0cad8ffe7ad4a1091e318,610776002,422.7,0,1409
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,539723005,719.0,65,2245
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,685687002,718.5999999999999,484,1266
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,692454002,569.5,91,1686
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,562245001,470.5,76,1391
00007d2de826758b65a93dd24ce629ed66842531df6699338c5570910a014cc2,637673005,459.5,71,1366
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,539723005,673.5,0,2245
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,399223001,556.5,0,1855
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,692454002,505.7999999999999,0,1686
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,573716012,459.3,0,1531
00009c2aeae8761f738e4f937d9be6b49861a66339c2b1c3b1cc6e322729a370,610776002,422.7,0,1409
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,539723005,762.4,127,2245
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,399223001,578.9,32,1855
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,692454002,514.1999999999999,12,1686
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,573716012,469.8,15,1531
00009d946eec3ea54add5ba56d5210ea898def4b46c68570cf0096d962cacc75,610776002,435.3,18,1409
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,539723005,673.5,0,2245
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,399223001,557.2,1,1855
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,692454002,505.7999999999999,0,1686
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,573716012,459.3,0,1531
0000f1c71aafe5963c3d195cf273f7bfd50bbf17761c9199e53dbb81641becd7,610776002,422.7,0,1409
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,539723005,681.9,12,2245
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,399223001,564.2,11,1855
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,692454002,521.9,23,1686
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,573716012,504.1,64,1531
0000f2ea26b7f0a9175f428c8cf7743e9e10e193465ecdfa486d5f3bf019d330,610776002,432.5,14,1409
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,539723005,677.0,5,2245
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,399223001,560.7,6,1855
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,692454002,510.69999999999993,7,1686
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,573716012,464.9,8,1531
00015c1a121e08bbd2552c15fbbb6e6b19d3bf8f7b6a3d60c6d7be26f06264d6,610776002,426.2,5,1409
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,539723005,674.2,1,2245
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,399223001,556.5,0,1855
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,692454002,505.7999999999999,0,1686
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,573716012,459.3,0,1531
00018385675844f7a6babbed41b5655b5727fb16483b6ea51d5798a6ab947344,610776002,422.7,0,1409
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,539723005,702.9,42,2245
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,399223001,583.1,38,1855
0001d44dbe7f6c4b35200abdb052c77a87596fe1bdcc37e011580a479e80aa94,692454002,559.6999999999999,77,1686
